class_id,Index,Plant,Disease,pixel_count,image_count_with_class,pixel_ratio
0,-1,Background,background,8386559872,11456,0.8046462825509322
1,0,Apple,apple black rot,5376378,83,0.0005158351740541436
2,1,Apple,apple mosaic virus,14081965,89,0.0013510904305462446
3,2,Apple,apple rust,13976113,139,0.0013409344882289486
4,3,Apple,apple scab,18437552,258,0.0017689860804155366
5,4,Banana,banana anthracnose,5803091,71,0.0005567760406796237
6,5,Banana,banana black leaf streak,56794609,167,0.005449143832307182
7,6,Banana,banana bunchy top,8553925,157,0.0008207040857657497
8,7,Banana,banana cigar end rot,5491457,60,0.0005268763984611657
9,8,Banana,banana cordana leaf spot,15319991,55,0.0014698725097068905
10,9,Banana,banana panama disease,7192045,63,0.0006900388671295494
11,10,Basil,basil downy mildew,15591443,63,0.0014959169004969996
12,11,Bean,bean halo blight,3293193,56,0.000315964536784595
13,12,Bean,bean mosaic virus,11797487,58,0.0011319067893006212
14,13,Bean,bean rust,106294030,233,0.010198352769460472
15,14,Bell pepper,bell pepper bacterial spot,3791154,76,0.00036374127404287097
16,15,Bell pepper,bell pepper blossom end rot,10140162,112,0.00097289517779576
17,16,Bell pepper,bell pepper frogeye leaf spot,1340030,31,0.00012856882612937074
18,17,Bell pepper,bell pepper powdery mildew,2728768,28,0.00026181092851607107
19,18,Blueberry,blueberry anthracnose,4108183,42,0.00039415853811827843
20,19,Blueberry,blueberry botrytis blight,2730487,36,0.0002619758575192399
21,20,Blueberry,blueberry mummy berry,3279120,47,0.0003146143064986173
22,21,Blueberry,blueberry rust,7531215,43,0.0007225804436302984
23,22,Blueberry,blueberry scorch,7685539,43,0.0007373870192469555
24,23,Broccoli,broccoli alternaria leaf spot,11121516,65,0.0010670509293814426
25,24,Broccoli,broccoli downy mildew,4024257,29,0.0003861062801078357
26,25,Broccoli,broccoli ring spot,2118587,16,0.00020326727285429816
27,26,Cabbage,cabbage alternaria leaf spot,10745448,61,0.0010309691839691607
28,27,Cabbage,cabbage black rot,20055744,131,0.0019242430865213244
29,28,Cabbage,cabbage downy mildew,16217111,84,0.0015559464523030868
30,29,Carrot,carrot alternaria leaf blight,5938574,60,0.0005697749215035497
31,30,Carrot,carrot cavity spot,2508739,72,0.00024070030394466647
32,31,Carrot,carrot cercospora leaf blight,953478,19,9.148119609275923e-05
33,32,Cauliflower,cauliflower alternaria leaf spot,13481008,54,0.0012934317691399863
34,33,Cauliflower,cauliflower bacterial soft rot,36538909,36,0.0035057160199233597
35,34,Celery,celery anthracnose,4059364,29,0.00038947461199512467
36,35,Celery,celery early blight,1809441,36,0.00017360634114188094
37,36,Cherry,cherry leaf spot,6653539,106,0.0006383720505033374
38,37,Cherry,cherry powdery mildew,4092244,33,0.00039262927495277016
39,38,Citrus,citrus canker,19028794,390,0.0018257126387003374
40,39,Citrus,citrus greening disease,12519769,133,0.0012012059459421698
41,40,Coffee,coffee berry blotch,3102871,118,0.0002977041425198441
42,41,Coffee,coffee black rot,397679,7,3.81552071269315e-05
43,42,Coffee,coffee brown eye spot,724620,20,6.952347543701606e-05
44,43,Coffee,coffee leaf rust,29259326,159,0.0028072783423927646
45,44,Corn,corn gray leaf spot,18622416,107,0.0017867228083048973
46,45,Corn,corn northern leaf blight,11936431,130,0.0011452377348598396
47,46,Corn,corn rust,80986952,177,0.0077702718225977725
48,47,Corn,corn smut,37214241,202,0.0035705105711554964
49,48,Cucumber,cucumber angular leaf spot,33516147,182,0.003215697914352239
50,49,Cucumber,cucumber bacterial wilt,17895782,108,0.0017170061001672518
51,50,Cucumber,cucumber powdery mildew,32576028,188,0.0031254984440031285
52,51,Eggplant,eggplant cercospora leaf spot,6310798,60,0.000605487855346209
53,52,Eggplant,eggplant phomopsis fruit rot,11467907,46,0.0011002853228291856
54,53,Eggplant,eggplant phytophthora blight,13173671,33,0.001263944401457082
55,54,Garlic,garlic leaf blight,3161334,92,0.0003033133596881175
56,55,Garlic,garlic rust,6864106,106,0.0006585748459717846
57,56,Ginger,ginger leaf spot,504275,25,4.838253232867057e-05
58,57,Ginger,ginger sheath blight,1987283,68,0.00019066934508694153
59,58,Grape,grape black rot,15142087,122,0.0014528035571881263
60,59,Grape,grape downy mildew,46364795,280,0.0044484580695050985
61,60,Grape,grape leaf spot,8950851,91,0.0008587870465056037
62,61,Grapevine,grapevine leafroll disease,13931739,71,0.0013366770364624473
63,62,Lettuce,lettuce downy mildew,37256058,84,0.003574522692229093
64,63,Lettuce,lettuce mosaic virus,4226999,39,0.00040555830800804754
65,64,Maple,maple tar spot,9138626,114,0.0008768030695248217
66,65,Peach,peach anthracnose,5985688,13,0.0005742952618498547
67,66,Peach,peach brown rot,38297657,173,0.0036744586345046587
68,67,Peach,peach leaf curl,21690534,182,0.0020810925833744053
69,68,Peach,peach rust,2481950,8,0.00023813004038103003
70,69,Peach,peach scab,14998005,78,0.0014389796475694073
71,70,Plum,plum bacterial spot,2048817,16,0.0001965732085430169
