Split,Plant,Disease,images
Test,Apple,apple black rot,17
Test,Apple,apple mosaic virus,18
Test,Apple,apple rust,28
Test,Apple,apple scab,52
Test,Banana,banana anthracnose,14
Test,Banana,banana black leaf streak,33
Test,Banana,banana bunchy top,31
Test,Banana,banana cigar end rot,12
Test,Banana,banana cordana leaf spot,11
Test,Banana,banana panama disease,13
Test,Basil,basil downy mildew,13
Test,Bean,bean halo blight,11
Test,Bean,bean mosaic virus,12
Test,Bean,bean rust,23
Test,Bell pepper,bell pepper bacterial spot,15
Test,Bell pepper,bell pepper blossom end rot,22
Test,Bell pepper,bell pepper frogeye leaf spot,6
Test,Bell pepper,bell pepper powdery mildew,6
Test,Blueberry,blueberry anthracnose,8
Test,Blueberry,blueberry botrytis blight,7
Test,Blueberry,blueberry mummy berry,9
Test,Blueberry,blueberry rust,9
Test,Blueberry,blueberry scorch,9
Test,Broccoli,broccoli alternaria leaf spot,13
Test,Broccoli,broccoli downy mildew,6
Test,Broccoli,broccoli ring spot,3
Test,Cabbage,cabbage alternaria leaf spot,13
Test,Cabbage,cabbage black rot,26
Test,Cabbage,cabbage downy mildew,17
Test,Carrot,carrot alternaria leaf blight,12
Test,Carrot,carrot cavity spot,14
Test,Carrot,carrot cercospora leaf blight,4
Test,Cauliflower,cauliflower alternaria leaf spot,11
Test,Cauliflower,cauliflower bacterial soft rot,7
Test,Celery,celery anthracnose,6
Test,Celery,celery early blight,7
Test,Cherry,cherry leaf spot,21
Test,Cherry,cherry powdery mildew,7
Test,Citrus,citrus canker,78
Test,Citrus,citrus greening disease,27
Test,Coffee,coffee berry blotch,24
Test,Coffee,coffee black rot,1
Test,Coffee,coffee brown eye spot,4
Test,Coffee,coffee leaf rust,32
Test,Corn,corn gray leaf spot,21
Test,Corn,corn northern leaf blight,26
Test,Corn,corn rust,35
Test,Corn,corn smut,40
Test,Cucumber,cucumber angular leaf spot,36
Test,Cucumber,cucumber bacterial wilt,22
Test,Cucumber,cucumber powdery mildew,38
Test,Eggplant,eggplant cercospora leaf spot,12
Test,Eggplant,eggplant phomopsis fruit rot,9
Test,Eggplant,eggplant phytophthora blight,7
Test,Garlic,garlic leaf blight,18
Test,Garlic,garlic rust,21
Test,Ginger,ginger leaf spot,5
Test,Ginger,ginger sheath blight,14
Test,Grape,grape black rot,24
Test,Grape,grape downy mildew,56
Test,Grape,grape leaf spot,18
Test,Grapevine,grapevine leafroll disease,14
Test,Lettuce,lettuce downy mildew,17
Test,Lettuce,lettuce mosaic virus,8
Test,Maple,maple tar spot,23
Test,Peach,peach anthracnose,3
Test,Peach,peach brown rot,35
Test,Peach,peach leaf curl,36
Test,Peach,peach rust,2
Test,Peach,peach scab,16
Test,Plum,plum bacterial spot,3
Test,Plum,plum brown rot,16
Test,Plum,plum pocket disease,11
Test,Plum,plum pox virus,7
Test,Plum,plum rust,7
Test,Potato,potato early blight,25
Test,Potato,potato late blight,23
Test,Raspberry,raspberry fire blight,7
Test,Raspberry,raspberry gray mold,8
Test,Raspberry,raspberry leaf spot,3
Test,Raspberry,raspberry yellow rust,7
Test,Rice,rice blast,17
Test,Rice,rice sheath blight,15
Test,Soybean,bean rust,24
Test,Soybean,soybean bacterial blight,18
Test,Soybean,soybean brown spot,14
Test,Soybean,soybean downy mildew,31
Test,Soybean,soybean frog eye leaf spot,48
Test,Soybean,soybean mosaic,23
Test,Squash,squash powdery mildew,36
Test,Strawberry,strawberry anthracnose,12
Test,Strawberry,strawberry leaf scorch,8
Test,Tobacco,tobacco blue mold,12
Test,Tobacco,tobacco brown spot,13
Test,Tobacco,tobacco frogeye leaf spot,6
Test,Tobacco,tobacco mosaic virus,8
Test,Tomato,tomato bacterial leaf spot,22
Test,Tomato,tomato early blight,37
Test,Tomato,tomato late blight,33
Test,Tomato,tomato leaf mold,31
Test,Tomato,tomato mosaic virus,13
Test,Tomato,tomato septoria leaf spot,26
Test,Tomato,tomato yellow leaf curl virus,19
Test,Wheat,wheat bacterial leaf streak (black chaff),23
Test,Wheat,wheat head scab,64
Test,Wheat,wheat leaf rust,26
Test,Wheat,wheat loose smut,43
Test,Wheat,wheat powdery mildew,54
Test,Wheat,wheat septoria blotch,46
Test,Wheat,wheat stem rust,30
Test,Wheat,wheat stripe rust,72
Test,Zucchini,zucchini bacterial wilt,15
Test,Zucchini,zucchini downy mildew,9
Test,Zucchini,zucchini powdery mildew,43
Test,Zucchini,zucchini yellow mosaic virus,19
Training,Apple,apple black rot,57
Training,Apple,apple mosaic virus,61
Training,Apple,apple rust,96
Training,Apple,apple scab,179
Training,Banana,banana anthracnose,49
Training,Banana,banana black leaf streak,116
Training,Banana,banana bunchy top,109
Training,Banana,banana cigar end rot,41
Training,Banana,banana cordana leaf spot,38
Training,Banana,banana panama disease,43
Training,Basil,basil downy mildew,43
Training,Bean,bean halo blight,39
Training,Bean,bean mosaic virus,40
Training,Bean,bean rust,80
Training,Bell pepper,bell pepper bacterial spot,53
Training,Bell pepper,bell pepper blossom end rot,78
Training,Bell pepper,bell pepper frogeye leaf spot,21
Training,Bell pepper,bell pepper powdery mildew,19
Training,Blueberry,blueberry anthracnose,29
Training,Blueberry,blueberry botrytis blight,25
Training,Blueberry,blueberry mummy berry,33
Training,Blueberry,blueberry rust,29
